Source,MS,Time,id,short,name,zone,type,status,bounty,location_0,location_1,battery,locked,updated,mileage
***,1562558416077,,93214d1f-f226-40d9-af3a-109931af981d,ehqf,VOI,9,como,ready,0,48.81096267700195,2.401125907897949,77,True,2019-07-08T03:59:54.371177Z,0
,,,e50722ce-7d44-4af2-bef8-88e3bd70ac15,xn7k,VOI,9,como,ready,0,48.81116485595703,2.401716947555542,78,True,2019-07-08T03:58:39.966913Z,0
,,,2cbb1f02-2b10-489c-9360-1b2b81cece9a,bhgh,VOI,9,como,ready,0,48.811119079589844,2.401517152786255,76,True,2019-07-08T03:57:34.957663Z,0
,,,d1e7fe7b-0112-4d8e-bf4a-5cb64aa03cee,mdke,VOI,9,como,ready,0,48.81099319458008,2.4013149738311768,44,True,2019-07-08T03:57:18.886409Z,0
,,,633b30b2-25fe-4846-95c6-e8022b266ef7,t31g,VOI,9,btv1,ready,0,48.8350354,2.4004962,56,True,2019-07-07T18:00:03.990293Z,0
,,,a4a5139c-374f-4af9-b75a-22cc3daa05fb,zeuq,VOI,9,btv1,ready,0,48.81059555555556,2.4009466666666666,78,True,2019-07-08T03:58:37.583427Z,0
,,,c2bb22db-8537-4547-8e54-d50ab4856aaf,m4fe,VOI,9,como,ready,0,48.811134338378906,2.4010941982269287,33,True,2019-07-05T12:04:21.981763Z,0
***,1562558459388,,93214d1f-f226-40d9-af3a-109931af981d,ehqf,VOI,9,como,ready,0,48.81096267700195,2.401125907897949,77,True,2019-07-08T03:59:54.371177Z,0
,,,e50722ce-7d44-4af2-bef8-88e3bd70ac15,xn7k,VOI,9,como,ready,0,48.81116485595703,2.401716947555542,78,True,2019-07-08T03:58:39.966913Z,0
,,,2cbb1f02-2b10-489c-9360-1b2b81cece9a,bhgh,VOI,9,como,ready,0,48.81096649169922,2.4014899730682373,76,True,2019-07-08T04:00:34.966075Z,0
,,,d1e7fe7b-0112-4d8e-bf4a-5cb64aa03cee,mdke,VOI,9,como,ready,0,48.81104278564453,2.401404857635498,44,True,2019-07-08T04:00:18.908427Z,0
,,,633b30b2-25fe-4846-95c6-e8022b266ef7,t31g,VOI,9,btv1,ready,0,48.8350354,2.4004962,56,True,2019-07-07T18:00:03.990293Z,0
,,,a4a5139c-374f-4af9-b75a-22cc3daa05fb,zeuq,VOI,9,btv1,ready,0,48.81059555555556,2.4009466666666666,78,True,2019-07-08T03:58:37.583427Z,0
,,,c2bb22db-8537-4547-8e54-d50ab4856aaf,m4fe,VOI,9,como,ready,0,48.811134338378906,2.4010941982269287,33,True,2019-07-05T12:04:21.981763Z,0
***,1562558502700,,93214d1f-f226-40d9-af3a-109931af981d,ehqf,VOI,9,como,ready,0,48.81096267700195,2.401125907897949,77,True,2019-07-08T03:59:54.371177Z,0
,,,e50722ce-7d44-4af2-bef8-88e3bd70ac15,xn7k,VOI,9,como,ready,0,48.81116485595703,2.401716947555542,78,True,2019-07-08T03:58:39.966913Z,0
,,,2cbb1f02-2b10-489c-9360-1b2b81cece9a,bhgh,VOI,9,como,ready,0,48.81096649169922,2.4014899730682373,76,True,2019-07-08T04:00:34.966075Z,0
,,,d1e7fe7b-0112-4d8e-bf4a-5cb64aa03cee,mdke,VOI,9,como,ready,0,48.81104278564453,2.401404857635498,44,True,2019-07-08T04:00:18.908427Z,0
,,,633b30b2-25fe-4846-95c6-e8022b266ef7,t31g,VOI,9,btv1,ready,0,48.8350354,2.4004962,56,True,2019-07-07T18:00:03.990293Z,0
,,,a4a5139c-374f-4af9-b75a-22cc3daa05fb,zeuq,VOI,9,btv1,ready,0,48.81059555555556,2.4009466666666666,78,True,2019-07-08T03:58:37.583427Z,0
,,,c2bb22db-8537-4547-8e54-d50ab4856aaf,m4fe,VOI,9,como,ready,0,48.811134338378906,2.4010941982269287,33,True,2019-07-05T12:04:21.981763Z,0
***,1562558546011,,93214d1f-f226-40d9-af3a-109931af981d,ehqf,VOI,9,como,ready,0,48.81096267700195,2.401125907897949,77,True,2019-07-08T03:59:54.371177Z,0
,,,e50722ce-7d44-4af2-bef8-88e3bd70ac15,xn7k,VOI,9,como,ready,0,48.81119918823242,2.4016988277435303,78,True,2019-07-08T04:01:39.864099Z,0
,,,2cbb1f02-2b10-489c-9360-1b2b81cece9a,bhgh,VOI,9,como,ready,0,48.81096649169922,2.4014899730682373,76,True,2019-07-08T04:00:34.966075Z,0
,,,d1e7fe7b-0112-4d8e-bf4a-5cb64aa03cee,mdke,VOI,9,como,ready,0,48.81104278564453,2.401404857635498,44,True,2019-07-08T04:00:18.908427Z,0
,,,633b30b2-25fe-4846-95c6-e8022b266ef7,t31g,VOI,9,btv1,ready,0,48.8350354,2.4004962,56,True,2019-07-07T18:00:03.990293Z,0
,,,a4a5139c-374f-4af9-b75a-22cc3daa05fb,zeuq,VOI,9,btv1,ready,0,48.81059555555556,2.4009466666666666,78,True,2019-07-08T04:01:37.539293Z,0
,,,c2bb22db-8537-4547-8e54-d50ab4856aaf,m4fe,VOI,9,como,ready,0,48.811134338378906,2.4010941982269287,33,True,2019-07-05T12:04:21.981763Z,0
***,1562558589323,,93214d1f-f226-40d9-af3a-109931af981d,ehqf,VOI,9,como,ready,0,48.81096267700195,2.401125907897949,77,True,2019-07-08T03:59:54.371177Z,0
,,,e50722ce-7d44-4af2-bef8-88e3bd70ac15,xn7k,VOI,9,como,ready,0,48.81119918823242,2.4016988277435303,78,True,2019-07-08T04:01:39.864099Z,0
,,,2cbb1f02-2b10-489c-9360-1b2b81cece9a,bhgh,VOI,9,como,ready,0,48.81096649169922,2.4014899730682373,76,True,2019-07-08T04:00:34.966075Z,0
,,,d1e7fe7b-0112-4d8e-bf4a-5cb64aa03cee,mdke,VOI,9,como,ready,0,48.81104278564453,2.401404857635498,44,True,2019-07-08T04:00:18.908427Z,0
,,,633b30b2-25fe-4846-95c6-e8022b266ef7,t31g,VOI,9,btv1,ready,0,48.8350354,2.4004962,56,True,2019-07-07T18:00:03.990293Z,0
,,,a4a5139c-374f-4af9-b75a-22cc3daa05fb,zeuq,VOI,9,btv1,ready,0,48.81059555555556,2.4009466666666666,78,True,2019-07-08T04:01:37.539293Z,0
,,,c2bb22db-8537-4547-8e54-d50ab4856aaf,m4fe,VOI,9,como,ready,0,48.811134338378906,2.4010941982269287,33,True,2019-07-05T12:04:21.981763Z,0
***,1562558632635,,93214d1f-f226-40d9-af3a-109931af981d,ehqf,VOI,9,como,ready,0,48.81096649169922,2.401113986968994,77,True,2019-07-08T04:02:54.725052Z,0
,,,e50722ce-7d44-4af2-bef8-88e3bd70ac15,xn7k,VOI,9,como,ready,0,48.81119918823242,2.4016988277435303,78,True,2019-07-08T04:01:39.864099Z,0
,,,2cbb1f02-2b10-489c-9360-1b2b81cece9a,bhgh,VOI,9,como,ready,0,48.81096649169922,2.4014899730682373,76,True,2019-07-08T04:00:34.966075Z,0
,,,d1e7fe7b-0112-4d8e-bf4a-5cb64aa03cee,mdke,VOI,9,como,ready,0,48.81104278564453,2.401404857635498,44,True,2019-07-08T04:00:18.908427Z,0
,,,633b30b2-25fe-4846-95c6-e8022b266ef7,t31g,VOI,9,btv1,ready,0,48.8350354,2.4004962,56,True,2019-07-07T18:00:03.990293Z,0
,,,a4a5139c-374f-4af9-b75a-22cc3daa05fb,zeuq,VOI,9,btv1,ready,0,48.81059555555556,2.4009466666666666,78,True,2019-07-08T04:01:37.539293Z,0
,,,c2bb22db-8537-4547-8e54-d50ab4856aaf,m4fe,VOI,9,como,ready,0,48.811134338378906,2.4010941982269287,33,True,2019-07-05T12:04:21.981763Z,0
***,1562558675946,,93214d1f-f226-40d9-af3a-109931af981d,ehqf,VOI,9,como,ready,0,48.81096649169922,2.401113986968994,77,True,2019-07-08T04:02:54.725052Z,0
,,,e50722ce-7d44-4af2-bef8-88e3bd70ac15,xn7k,VOI,9,como,ready,0,48.81119918823242,2.4016988277435303,78,True,2019-07-08T04:01:39.864099Z,0
,,,2cbb1f02-2b10-489c-9360-1b2b81cece9a,bhgh,VOI,9,como,ready,0,48.81096649169922,2.4014899730682373,76,True,2019-07-08T04:00:34.966075Z,0
,,,d1e7fe7b-0112-4d8e-bf4a-5cb64aa03cee,mdke,VOI,9,como,ready,0,48.81105041503906,2.4014322757720947,44,True,2019-07-08T04:03:18.767858Z,0
